Configuration,Participant,Total
A1,3,2.192
A2,3,1.154
B1,3,1.472
B2,3,2.415
A1,2,5.076
B2,2,2.341
A2,2,2.352
B1,2,3.75
A2,4,8.975
B1,4,20.062
A1,4,13.587
B2,4,8.207
A1,6,2.986
B1,5,2.672
B2,5,1.764
A2,5,1.555
A2,6,1.616
B1,6,3.684
B2,6,4.026
A1,7,4.805
A2,7,4.436
B1,7,5.813
B2,7,4.266
A1,15,6.941
B1,15,8.322
A2,15,5.513
B2,15,7.855
A2,14,3.261
A1,14,7.528
B2,14,7.672
B1,14,4.078
A2,9,2.801
B2,9,2.454
A1,9,1.924
B1,9,1.97
A1,10,0.625
B2,10,1.817
A2,10,1.418
B1,10,2.49
B1,11,1.224
A1,11,0.64
B2,11,0.679
A2,11,0.469
B1,8,7.745
A2,8,3.214
B2,8,5.378
A1,8,3.479
A2,12,1.995
A1,12,2.439
B1,12,2.359
B2,12,1.894
B1,13,1.776
A1,13,2.84
B2,13,2.194
A2,13,1.215
B1,16,2.921
A2,16,1.539
B2,16,2.504
A1,16,2.117
A1,1,2.563
B1,1,1.75
A2,1,1.96
B2,1,4.047